Gas Price ,Inflation Categorization
1.5,mid
1.655,mid
1.734,mid
1.633,mid
1.539,mid
1.533,mid
1.554,mid
1.661,mid
1.721,mid
1.606,mid
1.555,lo
1.522,lo
1.614,lo
1.69,lo
1.778,lo
1.839,mid
2.023,mid
2.013,mid
1.954,mid
1.92,mid
1.912,mid
2.042,mid
2.023,mid
1.887,mid
1.875,mid
1.953,mid
2.12,mid
2.285,mid
2.205,mid
2.198,mid
2.333,mid
2.529,mid
2.951,hi
2.765,hi
2.303,mid
2.229,mid
2.36,hi
2.326,mid
2.468,mid
2.787,mid
2.953,hi 
2.93,hi
3.025,hi
2.999,mid
2.606,mid
2.293,lo
2.275,mid
2.369,mid
2.289,mid
2.323,mid
2.609,mid
2.891,mid
3.187,mid
3.102,mid
3.011,mid
2.834,mid
2.849,mid
2.853,mid
3.128,hi 
3.07,mid
3.095,hi 
3.078,hi
3.293,hi
3.507,mid
3.815,hi 
4.105,hi 
4.114,hi 
3.833,hi 
3.756,hi
3.112,mid
2.208,lo
1.745,lo 
1.84,lo
1.97,lo 
2.011,lo 
2.102,lo
2.316,lo
2.681,lo 
2.582,lo 
2.67,lo 
2.609,lo 
2.605,lo 
2.706,mid
2.769,mid
2.699,mid
2.824,mid
2.9,mid
2.89,mid
2.785,lo 
2.782,lo 
2.783,lo 
2.757,lo 
2.853,lo 
2.913,lo 
3.048,lo
3.148,lo 
3.284,mid
3.615,mid
3.852,mid
3.96,mid
3.735,mid
3.705,mid
3.696,mid
3.667,mid
3.506,mid
3.443,mid
3.326,mid
3.44,mid
3.64,mid
3.907,mid
3.958,lo
3.791,lo
3.596,lo
3.498,lo
3.78,mid
3.91,mid
3.812,lo 
3.521,lo 
3.391,lo  
3.779,mid
3.638,lo 
3.675,lo 
3.689,lo
3.661,lo
3.645,mid
3.604,lo 
3.42,lo 
3.322,lo 
3.357,lo 
3.357,lo
3.392,lo
3.434,lo
3.606,lo
3.735,mid
3.75,mid
3.766,mid
3.688,mid
3.565,lo
3.484,lo
3.255,lo
2.997,lo
2.632,lo
2.208,lo
2.301,lo
2.546,lo
2.555,lo
2.802,lo
2.885,lo
2.88,lo
2.726,lo
2.462,lo
2.387,lo
2.26,lo
2.144,lo
2.057,lo
1.872,lo 
2.071,lo
2.216,lo
2.371,lo
2.467,lo
2.345,lo
2.284,lo
2.327,lo 
2.359,lo
2.295,lo
2.366,mid
2.458,mid
2.416,mid
2.437,mid
2.528,mid
2.503,lo
2.46,lo
2.414,lo
2.494,lo
2.761,mid
2.621,mid
2.678,mid
2.594,mid
2.671,mid
2.705,mid
2.709,mid
2.873,mid
2.987,mid
2.97,mid
2.928,mid
2.914,mid
2.915,mid
2.943,mid
2.736,mid
2.457,lo
2.338,lo
2.393,lo
2.594,lo
2.881,mid
2.946,lo
2.804,lo
2.823,lo
2.707,lo
2.681,lo
2.724,lo
2.693,mid
2.645,mid
2.636,mid
2.533,mid
2.329,lo
1.938,lo
1.961,lo
2.17,lo
2.272,lo
2.272,lo
2.274,lo
2.248,lo
2.2,lo
2.284,lo
2.42,lo
2.587,lo
2.898,mid
2.948,hi
3.076,hi
3.157,hi
3.231,hi
3.255,hi
3.272,hi
3.384,hi
3.491,hi
3.406,hi
3.413,lo
3.611,lo
4.322,mid
4.213,hi
4.545,hi
5.032,hi
4.668,hi
4.087,hi
3.817,hi
3.935,hi
3.799,hi
3.324,hi
3.445,hi
3.501,hi
3.535,hi
3.711,hi
3.666,hi
3.684,mid
3.712,mid
3.954,mid
3.958,mid
3.742,mid
3.443,hi
3.257,hi